"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14993","TC_LO_050 - Verify lead and opportunities records are displayed uniquely across paginated results -- @1.1 ","","Mon Jun 22 09:54:55 UTC 2026","passed","Mon Jun 22 09:55:10 UTC 2026","","","",""
"","29357","FS-01 FS-02 FS-03 FS-04 Verify filtering users by status and reset -- @1.13 ","","Mon Jun 22 10:02:57 UTC 2026","passed","Mon Jun 22 10:03:26 UTC 2026","","","",""
"","13827","TC_LO_011,TC_LO_018,TC_LO_035 - Verify KPI metrics update based on applied and cleared filters -- @1.12 ","","Mon Jun 22 09:27:11 UTC 2026","passed","Mon Jun 22 09:27:24 UTC 2026","","","",""
"","12839","TC_LO_031 TC_OM_007 to TC_OM_010 TC_OM_024 - TC_OM_029 - Verify Opportunity data can be filtered using different filter criteria -- @1.1 ","","Mon Jun 22 09:35:38 UTC 2026","passed","Mon Jun 22 09:35:51 UTC 2026","","","",""
"","15536","TC_LO_031 TC_OM_007 to TC_OM_010 TC_OM_024 - TC_OM_029 - Verify Opportunity data can be filtered using different filter criteria -- @1.16 ","","Mon Jun 22 09:38:35 UTC 2026","passed","Mon Jun 22 09:38:51 UTC 2026","","","",""
"","6067","AU-02 Verify mandatory field validations in Add User form -- @1.2 ","","Mon Jun 22 10:04:40 UTC 2026","passed","Mon Jun 22 10:04:46 UTC 2026","","","",""
"","7266","TC_TS_03 Verify that I can download the correct contact responses based on my selected details -- @1.4 ","","Mon Jun 22 09:17:10 UTC 2026","passed","Mon Jun 22 09:17:17 UTC 2026","","","",""
"","8209","TC_TS_14 TC_TS_15 TC_TS_16 TC_TS_17 Verify that I can find contact responses using search -- @1.5 ","","Mon Jun 22 09:13:51 UTC 2026","passed","Mon Jun 22 09:13:59 UTC 2026","","","",""
"","13673","TC_LO_031 TC_OM_007 to TC_OM_010 TC_OM_024 - TC_OM_029 - Verify Opportunity data can be filtered using different filter criteria -- @1.8 ","","Mon Jun 22 09:36:58 UTC 2026","passed","Mon Jun 22 09:37:12 UTC 2026","","","",""
"","22232","TC_VL_020 - Verify last updated metadata reflects correct user and timestamp after edit -- @1.3 ","","Mon Jun 22 09:42:17 UTC 2026","passed","Mon Jun 22 09:42:39 UTC 2026","","","",""
"","19836","TC_NL_027 - Verify attachment upload validation for valid and invalid files -- @1.3 ","","Mon Jun 22 09:45:46 UTC 2026","passed","Mon Jun 22 09:46:05 UTC 2026","","","",""
